Title,Latitude,Longitude,Description
KGET-TV,35.37937779,-119.0163972,http://www.kget.com/
KERO-TV,35.37848691,-119.0056137,http://www.turnto23.com/
KBAK-TV,35.37761016,-119.0431586,http://www.bakersfieldnow.com/
KRCR-TV,40.60703888,-122.3825047,http://www.krcrtv.com/
KIXE-TV,40.59836715,-122.3852166,http://www.kixe.org/
KHSL-TV,40.58864242,-122.3812774,https://www.actionnewsnow.com
KCVU,39.73012337,-121.8395434,https://krcrtv.com/station/contact
KNVN,39.81557558,-121.8712345,https://www.actionnewsnow.com
KVYE,32.81054915,-115.5690465,https://noticiasya.com/el-centro/
KECY-TV,32.81779105,-114.6205854,https://twitter.com/ABC5FOX9?fbclid=IwAR07SsOWY0IbsmukkqkSM9YrlwFtlEFRoqsfi4Nxm0IUrP9H9JGMLr0jTG4
KYMA-DT,32.70528646,-114.5976044,https://kyma.com
KAJB,32.854795,-115.5747542,https://en.wikipedia.org/wiki/KAJB
KIEM-TV,40.74282348,-124.200046,http://kiem-tv.com/
KEET,40.71744695,-124.2036748,http://www.keet.org/
KAEF-TV,40.80129641,-124.1675043,http://krcrtv.com/north-coast-news/eureka-local-news
KQSL,39.44594326,-123.8110873,https://kqsl.org
KAIL,37.13070769,-119.7541423,http://kail.tv/
KVPT,36.94521639,-119.93027,http://valleypbs.org/
KFTV-DT,36.94297998,-119.7620891,https://www.univision.com/local/fresno-kftv
KSEE,36.76662369,-119.7259395,http://www.yourcentralvalley.com/
KMPH-TV,36.76612524,-119.7223874,http://kmph-kfre.com/station/contact
KFSN-TV,36.79961593,-119.790234,http://abc30.com/
KGMC,36.88326829,-119.7999442,http://www.cocolatv.com/
KGPE,36.76663609,-119.7257837,http://www.yourcentralvalley.com/
KNXT,36.76556102,-119.7793881,http://knxt.tv/about/contact/wsdindex.html
KNSO,36.85957642,-119.7878471,http://www.telemundofresno.com/
KFRE-TV,36.77858764,-119.7241684,http://kmph-kfre.com/station/contact
KTFF-DT,36.8360706,-119.8079568,http://tv.univision.com/unimas/
KCBS-TV,34.2357187,-118.0661321,http://losangeles.cbslocal.com/
KNBC,34.14122382,-118.3618076,http://nbclosangeles.com/
KTLA,34.09834776,-118.3168689,http://ktla.com/
KABC-TV,34.16956111,-118.2846474,http://www.abc7.com/
KCAL-TV,34.22779331,-118.0675686,http://losangeles.cbslocal.com/tag/kcal-9/
KTTV,34.22550623,-118.0639145,https://www.foxla.com
KCOP-TV,34.22922365,-118.0684245,http://www.foxla.com/my13
KWHY-TV,34.06784456,-118.3481489,https://www.kwhy22.com/
KCET,34.16019832,-118.329582,http://www.kcet.org/
KPXN-TV,34.14794972,-118.0980541,https://iontelevision.com
KMEX-DT,34.02947526,-118.3888518,http://univision.com/
KXLA,34.03610492,-118.4408062,http://www.kxlatv.com/
KFTR-DT,33.97738896,-118.3881892,http://www.univision.com/content/channel.jhtml?chid=6&schid=1611
KOCE-TV,34.09660359,-118.42784,https://www.pbssocal.org/
KVEA,34.20772133,-118.3536871,http://www.telemundo52.com/
