Title,Latitude,Longitude,Description
"UC Berkeley, The Daily Californian",37.87824148,-122.2469961,http://www.dailycal.org/
"UC Berkeley, North Gate Radio",37.87353989,-122.2630859,https://www.kalx.berkeley.edu/programs/north-gate-radio
"UC Davis, The Aggie",38.53749239,-121.7617126,https://theaggie.org/
"UC Davis, KDVS 90.3 FM",38.54344065,-121.7764924,https://kdvs.org/
"UC Irvine, The New University",33.64020814,-117.8443822,https://www.newuniversity.org/
"UC Irvine, KUCI 88.9 FM",33.67285287,-117.8413758,http://www.kuci.org/contact.shtml
"UC Los Angeles, The Daily Bruin",34.07178621,-118.4443292,https://dailybruin.com/
"UC Los Angeles, UCLA Radio",34.07162527,-118.4543036,https://uclaradio.com/
"UC Merced, The Prodigy",37.36615011,-120.4225888,http://www.ucmprodigy.com/
"UC Riverside, The Highlander",33.98000636,-117.3287034,https://highlandernews.org/
"UC San Diego, The Guardian",32.88027542,-117.2340136,http://ucsdguardian.org/
"UC San Diego, KSDT",32.87839885,-117.2403651,https://ksdt.ucsd.edu/about-us/
"UC Santa Barbara, The Daily Nexus",34.41444016,-119.8480373,http://dailynexus.com/
"UC Santa Barbara, KCSB FM",34.40743142,-119.8478857,http://www.kcsb-radio.dreamhosters.com/
"UC Santa Cruz, City on a Hill Press",36.99527,-122.0587694,http://www.cityonahillpress.com/
"UC Santa Cruz, KZSC Santa Cruz",37.00148057,-122.0542806,https://www.kzsc.org/
