Title,Latitude,Longitude,Description
"""CSU Bakersfield, The Runner""",35.34747596,-119.1009152,https://therunneronline.com/
"""CSU Channel Islands, The CI View""",34.1628973,-119.0433219,http://civiewnews.com/
"""CSU Chico, The Orion""",39.731115,-121.8478523,https://theorion.com/
"""CSU Dominguez Hills, The Bulletin""",33.86723114,-118.2543774,http://www.csudhbulletin.com/
"""CSU East Bay, The Pioneer""",37.65918309,-122.0572298,http://thepioneeronline.com/
"""Fresno State University, The Collegian""",36.819202,-119.75236,http://collegian.csufresno.edu/
"""Fresno State University, KSFR Radio""",36.8132931,-119.7463523,https://kfsr.org/about/contact-3/
"""Fresno State University, Fresno State Focus""",36.80277724,-119.7521027,http://fresnostatefocus.com/
"""CSU Fullerton, Daily Titan""",33.88672475,-117.8853374,https://dailytitan.com/
"""CSU Fullerton, Tusk Magazine""",33.876479,-117.88865,http://tuskmagazine.fullerton.edu/
"""CSU Fullerton, Titan Communications""",33.896642,-117.886762,http://titancom.fullerton.edu/about.php
"""Humboldt State University, The Lumberjack""",40.87596497,-124.0790128,https://thelumberjack.org/
"""Humboldt State University, El Lenador""",40.88213,-124.079056,https://www.ellenadornews.com/
"""Humboldt State University, KRFH News""",40.871193,-124.078713,http://www.krfh.net/news/
"""Humboldt State University, Osprey Magazine""",40.874826,-124.073048,https://issuu.com/ospreymagazine
"""CSU Long Beach, Daily 49er""",33.78539167,-118.1142622,http://www.daily49er.com/
"""CSU Long Beach, DIG Magazine""",33.792739,-118.120442,http://digmagonline.com/
"""CSU Long Beach, 88.1 FM K-Beach""",33.780753,-118.110057,https://www.22westmedia.com/
"""CSU Los Angeles, University Times""",34.06833276,-118.1682677,https://csulauniversitytimes.com/
"""CSU Monterey Bay, The Lutrinae""",36.6534638,-121.7978759,https://thelutrinae.com/
"""CSU Monterey Bay, Ottermedia""",36.642179,-121.799045,https://csumb.edu/ottermedia
"""CSU Northridge, The Sundial""",34.24099501,-118.5278789,https://sundial.csun.edu/
"""CSU Northridge, El Nuevo Sol""",34.245789,-118.535314,http://elnuevosol.net/
"""CSU Northridge, KCSN News""",34.23134224,-118.5218201,https://soundcloud.com/daily-sundial
"""CSU Northridge, CSUN OnPoint""",34.242085,-118.521959,http://www.csuntvnews.com/
"""CSU Northridge, Scene Magazine""",34.250811,-118.526594,http://www.csunscene.net/
"""CSU Northridge, Valley View News""",34.240096,-118.532774,https://www.youtube.com/user/valleyviewnews
"""CalPoly Pomona, The Poly Post""",34.06052042,-117.8196357,http://www.thepolypost.com/
"""Sacramento State Universty, The State Hornet""",38.56578755,-121.4252956,https://statehornet.com/
"""CSU San Bernardino, Coyote Chronicle""",34.18306125,-117.3231018,https://coyotechronicle.net/
"""CSU San Bernardino, Coyote Radio""",34.189451,-117.313918,https://radio.csusb.edu/
"""San Diego State University, The Daily Aztec""",32.77786448,-117.0710818,http://thedailyaztec.com/
"""San Diego State University, KRC Radio""",32.79244,-117.075116,http://kcr.sdsu.edu/
"""San Francisco State University, Golden Gate Xpress""",37.72466468,-122.4799204,http://goldengatexpress.org/
"""San Francisco State University, Xpress Magazine""",37.723594,-122.475769,http://xpressmagazine.org/
"""San Francisco State University, KSFS Radio""",37.729352,-122.482998,https://ksfsmedia.net/about/
"""San Jose State University, The Spartan Daily""",37.33517008,-121.8811415,http://www.sjsunews.com/spartan_daily/
"""San Jose State University, Update News""",37.344319,-121.889935,http://www.sjsunews.com/update_news/
"""San Jose State University, Access Magazine""",37.328976,-121.878668,http://www.sjsunews.com/access_magazine/
"""San Jose State University, SHiFT Magazine""",37.340645,-121.877467,https://itunes.apple.com/us/app/shift-magazine-by-sjsu/id945609969?mt=8
"""CalPoly San Luis Obispo, Mustang News""",35.30549435,-120.663181,http://mustangnews.net/
"""CalPoly San Luis Obispo, Mustang News TV""",35.297089,-120.656486,http://mustangnews.net/section/mustangnewstv/
"""CalPoly San Luis Obispo, KCPR 91.3 FM""",35.316328,-120.675265,http://kcpr.org/
"""CSU San Marcos, The Cougar Chronicle""",33.13107387,-117.1598283,https://csusmchronicle.com/
"""Sonoma State University, Sonoma State Star""",38.34164811,-122.6731319,http://www.sonomastatestar.com/
"""Sonoma State University, KSUN Radio""",38.348201,-122.684681,http://www.sonomastateradio.com/
"""Sonoma State University, Studio Blue""",38.336903,-122.65806,https://studiobluessu.com/
"""CSU Stanislaus, The Signal""",37.52505472,-120.8555494,https://www.csusignal.com/
"""CSU Stanislaus, KCSS 91.9""",37.522456,-120.862002,http://www.kcss.net/
