Title,Latitude,Longitude,Description
Alameda Journal,37.77849674,-122.296886,https://www.eastbaytimes.com/location/alameda/
Alameda Sun,37.76085642,-122.2326846,https://alamedasun.com/about
The Berkeley Voice,37.85828909,-122.2765468,https://www.eastbaytimes.com/author/berkeley-voice/
Castro Valley Forum,37.71836105,-122.1516799,http://castrovalleyforum.com
East Bay Express,37.82619081,-122.2705813,eastbayexpress.com
The Independent,37.73049476,-121.6446433,https://www.independentnews.com
Marin County Post,37.96761406,-122.5447869,https://marinpost.org
Oakland Post,37.8038358,-122.2686218,https://www.postnewsgroup.com/oakland-post-november-4-10-2020/
Piedmont Post,37.8242985,-122.2329906,https://www.piedmontpost.org
Pleasanton Weekly,37.64995434,-121.8800496,https://www.pleasantonweekly.com/about/
San Leandro Times,37.71854577,-122.1516897,http://sanleandrotimes.com
Amador-Ledger Dispatch,38.34920571,-120.7723906,http://www.ledger.news/site/about.html
Chico Enterprise-Record,39.71627845,-121.8064078,chicoer.com
Chico News and Review,39.7321472,-121.8382228,newsreview.com
Oroville Mercury-Register,39.71619489,-121.8064573,https://www.orovillemr.com
Paradise Post,39.72301627,-121.804686,http://www.paradisepost.com
Calaveras Enterprise,38.19707909,-120.6809606,http://www.calaverasenterprise.com/site/contact/
Colusa County Sun-Herald,39.214534,-122.0076344,N/A
Williams Pioneer Review,39.21318407,-122.0084242,https://williamspioneer.com/contact/
Brentwood Press,37.93317106,-121.6945453,https://www.thepress.net/site/about.html
East Bay Times,37.97700219,-122.0421086,http://www.eastbaytimes.com
Lamorinda Sun,37.83714202,-122.1272131,https://www.lamorindaweekly.com/html2/contact.html
Martinez News-Gazette,38.01611762,-122.1375723,https://martinezgazette.com/contact-us/
Rossmoor News,37.86483161,-122.0684267,https://www.rossmoornews.com/rossmoornews/about-us/
Del Norte Triplicate,41.75416891,-124.198961,https://www.triplicate.com
Mountain Democrat,38.7292362,-120.836709,https://www.mtdemocrat.com
Tahoe Daily Tribune,38.94104884,-119.9775925,https://www.tahoedailytribune.com/about-us/
Village Life,38.73217832,-120.8001433,https://www.villagelife.com
Fresno Bee,36.73613596,-119.7781107,fresnobee.com
The Kerman News,36.7353663,-120.055312,http://kerwestnewspapers.com/index.htm
Kingsburg Recorder,36.51476664,-119.5527915,https://hanfordsentinel.com/community/kingsburg_recorder/
Reedley Exponent,36.5966659,-119.450203,https://www.midvalleytimes.com
Sanger Herald,36.70630609,-119.5569578,https://www.midvalleytimes.com
The Selma Enterprise,36.37880073,-119.6540749,https://hanfordsentinel.com/community/selma_enterprise/
Willows Journal,39.15271069,-121.593977,https://www.appeal-democrat.com/glenn_county_transcript/
Ferndale Enterprise,40.57578188,-124.2657382,http://www.ferndaleenterprise.com/history/
North Coast Journal,40.80382776,-124.1665271,northcoastjournal.com
Times-Standard,40.8022004,-124.1606686,https://www.times-standard.com/about-us/
Mad River Union,40.8686307,-124.0869331,https://madriverunion.com
The Independent,40.10013359,-123.7947894,http://www.humboldtindie.com/about
Adelante Valle,32.79466562,-115.5609311,http://www.humboldtindie.com/about
Calexico Chronicle,32.79308452,-115.5663853,https://calexicochronicle.com/about-calexico-chronicle/
Desert Review,32.97877591,-115.5335794,https://www.thedesertreview.com/site/about.html
Holtville Tribune,32.79329633,-115.5662497,https://holtvilletribune.com
Imperial Valley Press,32.79453451,-115.560972,https://www.ivpressonline.com
Inyo Register,37.37519394,-118.3950184,https://www.inyoregister.com
Bakersfield Californian,35.45236192,-119.0705732,https://www.bakersfield.com/site/about.html
Bakersfield News Observer,35.3776144,-119.0158069,https://ognsc.com
The Daily Independent,35.62346223,-117.6662796,http://www.ridgecrestca.com/
Taft Midway Driller,35.14307805,-119.4632326,https://www.taftmidwaydriller.com/ownership
Greenfield News,36.21176898,-121.1300949,https://greenfieldnews.com
Kern Valley Sun,35.6301867,-118.4725477,https://kernvalleysun.com
Mojave Desert News,35.12565643,-117.9826281,http://www.desertnews.com
The News Review,35.82833695,-117.6238957,http://www.news-ridgecrest.com/news/category.pl
Shafter Press,35.50515906,-119.2726745,https://www.theshafterpress.com
Tehachapi News,35.13672206,-118.4519342,https://www.tehachapinews.com
Corcoran Journal,36.09889988,-119.5603723,https://www.thecorcoranjournal.net/media-kit
The Hanford Sentinel,36.325693,-119.6497584,https://hanfordsentinel.com
Lake County Record-Bee,39.05129472,-122.9163939,https://www.record-bee.com
Middletown Times Star,38.75386592,-122.6185801,N/A
Lassen County Times,40.41871899,-120.6525414,https://www.lassennews.com
Westwood Pinepress,40.41833686,-120.6526612,https://www.lassennews.com
Acorn,34.147953,-118.7845262,https://www.theacorn.com/category/news/
Antelope Valley Press,34.56281554,-118.1133761,https://www.avpress.com
Arcadia Weekly,34.14310293,-118.0000601,https://www.arcadiaweekly.com/about-us/
The Argonaut,34.12226832,-118.1500005,https://argonautnews.com/aboutus/
Beach Reporter,33.87399938,-118.3963455,https://tbrnews.com/contact_us/about_us/
Beverly Hills Courier,34.07495746,-118.4028007,https://beverlyhillscourier.com
Beverly Hills Weekly,34.06583215,-118.3988523,http://bhweekly.com
Blue Pacific News,34.00376123,-118.4083353,https://bluepacificnews.com/about-us/
Burbank Leader,34.05243871,-118.2456743,http://www.burbankleader.com
Catalina Islander,33.34348252,-118.3275512,https://thecatalinaislander.com/about-us/
Claremont Courier,34.09376524,-117.7177228,https://www.claremont-courier.com
Compton Bulletin,33.89590019,-118.2145608,https://www.thebulletinweekly.com
Culver City News,34.00366109,-118.4083683,https://www.culvercitynews.org/about-us/
Culver City Observer,33.99774675,-118.3958072,https://www.culvercityobserver.com/about
Daily Breeze,33.88471596,-118.3948947,https://www.dailybreeze.com
Downey Patriot,33.95169607,-118.1252268,https://www.thedowneypatriot.com
Easy Reader,33.87125094,-118.3942942,http://www.easyreadernews.com/
Gardena Valley News,33.8955127,-118.2920589,https://gardenavalleynews.org/about-us/
Glendale News-Press,34.05227436,-118.2456644,http://www.glendalenewspress.com
Hoy Los Angeles,34.05277956,-118.2469312,https://www.hoylosangeles.com
La Canada Valley Sun,34.04801791,-118.2495578,https://www.latimes.com/socal/la-canada-valley-sun/
La Opinion,34.05101415,-118.2600155,http://laopinion.com
LA Watts Times,34.06263687,-118.3021584,https://lawattstimes.com
Los Angeles Daily News,34.0541601,-118.2432153,https://www.dailynews.com
Los Angeles Downtown News,34.11228347,-118.1718103,http://www.ladowntownnews.com/site/about.html
Los Angeles Sentinel,34.01732674,-118.3347568,https://lasentinel.net
Los Angeles Times,33.93640393,-118.3832552,latimes.com
Los Angeles Wave-Culver City Star,34.01442735,-118.398468,http://wavepublication.com/category/community-beat/culver-city-community-news/
Los Angeles Wave- East Edition,34.02196015,-118.1550556,http://wavepublication.com/category/community-beat/east-la/
Los Angeles Wave- Press,34.0621913,-118.3075189,http://wavepublication.com/category/community-beat/community/
Malibu Surfside News,34.00573592,-118.8099886,malibusurfsidenews.com
Malibu Times,34.03898017,-118.6374074,http://www.malibutimes.com/site/about.html
Event-News Enterprise,33.8018555,-118.0716407,https://www.event-newsenterprise.com/
Palisadian-Post,34.04504413,-118.5256151,https://palipost.com
Palos Verdes Peninsula News,33.77081128,-118.372607,https://www.pvnews.com/site/about_us.html
Park Labrea News and Beverly Press,34.06220573,-118.3421796,https://beverlypress.com/about-us/
Pasadena Independent,34.14370716,-117.9998779,https://www.pasadenaindependent.com/about-us/
Pasadena Journal-News,34.1725709,-118.1324085,https://www.pasadenajournal.com
Pasadena Star-News,34.1463087,-118.131431,https://www.pasadenastarnews.com/contact-us/
Pasadena Weekly,34.14494929,-118.1519966,https://pasadenaweekly.com/about/
Press-Telegram,33.7745103,-118.1920747,https://www.presstelegram.com
Random Length News,33.73244381,-118.287664,https://www.randomlengthsnews.com/?v=7516fd43adaa
San Fernando Valley Sun,34.28400502,-118.4429668,http://www.sanfernandosun.com
San Gabriel Tribune,34.14389132,-117.9932222,http://www.sgvtribune.com/
San Marino Tribune,34.11605283,-118.1368426,https://sanmarinotribune.com
Santa Clarita Valley Signal,34.40965876,-118.5073506,https://signalscv.com/contact/our-story/
Santa Monica Daily Press,34.01366431,-118.4901578,https://www.smdp.com/about-us
Santa Monica Observer,34.01684953,-118.4982966,https://www.smobserved.com/about
Simi Valley Acorn,34.27342676,-118.7214892,https://www.simivalleyacorn.com
South Pasadena Review,34.11605719,-118.1367722,http://southpasadenareview.com
Thousand Oaks Acorn,34.14779106,-118.7845363,https://www.toacorn.com
Whittier Daily News,34.14116586,-117.9920892,https://www.whittierdailynews.com
Chowchilla News,37.1215309,-120.2621542,https://www.mercedsunstar.com/news/local/community/chowchilla/
Madera Tribune,36.94281919,-120.0917146,http://www.maderatribune.com
Sierra Star,37.37909342,-119.6570966,https://www.sierrastar.com/customer-service/about-us/
Ark,38.07451916,-122.4820898,https://www.thearknewspaper.com/about-us
Marin Independent Journal,38.00461927,-122.5381726,http://www.marinij.com/
Novato Advance,38.10887473,-122.5738651,https://marinlocalnews.com/
Pacific Sun,37.97404416,-122.5292792,https://pacificsun.com
Point Reyes Light,38.09942745,-122.851941,https://www.ptreyeslight.com/about
Marinscope,38.1189475,-122.5717065,https://marinlocalnews.com/category/sausalito/
Mariposa Gazette,37.48951545,-119.9696408,https://www.mariposagazette.com
Anderson Valley Advertiser,39.00926571,-123.3668124,https://www.theava.com/about
Fort Bragg Advocate-News,39.43304668,-123.8057913,https://www.advocate-news.com
Independent Coast Observer,38.77467659,-123.5382663,http://www.mendonoma.com
Mendocino Beacon,39.44680745,-123.8042791,http://www.mendocinobeacon.com/
Mendocino County Observer,39.68586839,-123.4821065,https://www.facebook.com/pages/Mendocino-County-Observer/147386488623382
Ukiah Daily Journal,39.14513603,-123.2064582,ukiahdailyjournal.com
Willits News,39.14520531,-123.2063488,willitsnews.com
Atwater Signal,37.39363025,-120.6112791,https://www.mercedsunstar.com/news/local/community/atwater/
Gustine Press-Standard,37.25646205,-121.0000164,http://www.westsideconnect.com/site/about.html
Hilmar Times,37.40898033,-120.8470845,https://mercedcountytimes.com/Contact-Us/
Livingston Chronicle,37.31638222,-120.470227,https://www.mercedsunstar.com/news/local/community/livingston/
Los Banos Enterprise,37.06095993,-120.8482684,https://www.losbanosenterprise.com/
Merced County Times,37.30655616,-120.4788896,https://mercedcountytimes.com
Merced Sun-Star,37.31964639,-120.4677387,https://www.mercedsunstar.com
Modoc County Record,41.48181411,-120.5436658,https://www.modocrecord.com
Mammoth Times,37.63683092,-118.9661448,https://mammothtimes.com
Carmel Pine Cone,36.62327823,-121.9217766,http://www.carmelpinecone.com/
Salinas Valley Tribune,36.21140001,-121.1300349,https://salinasvalleytribune.com
Monterey County Herald,36.58590146,-121.8591418,https://www.montereyherald.com
Monterey County Weekly,36.60071896,-121.8502205,https://www.montereycountyweekly.com/site/about_the_weekly.html
The King City Rustler,36.21137851,-121.1292312,https://kingcityrustler.com/
The Salinas Californian,36.66032982,-121.65811,https://www.thecalifornian.com
Soledad Bee,36.42693099,-121.3275698,https://soledadbee.com
Calistoga Tribune,38.57821261,-122.5775539,http://www.calistogatribune.com/history.php
Napa Valley Register,38.30573624,-122.2858519,https://napavalleyregister.com
St. Helena Star,38.50416219,-122.4679236,http://www.sthelenastar.com
Weekly Calistogan,38.5800021,-122.578275,https://napavalleyregister.com/community/calistogan/
Sierra Sun,39.36108313,-120.178951,https://www.sierrasun.com
The Union,39.2359466,-121.037121,https://www.theunion.com
Daily Pilot,33.70139901,-117.9448294,http://www.dailypilot.com
Dana Point Times,33.45549436,-117.6599801,https://www.danapointtimes.com/advertise/
Irvine World News,33.69041186,-117.845779,https://www.facebook.com/IrvineWorldNews/
Leisure World Golden Rain News,33.76607859,-118.0848507,http://www.lwsb.com/newspaper/
The Log Newspaper,33.70332926,-117.940703,https://www.thelog.com/about-us/
Orange County Register,33.80536152,-117.8809651,https://www.ocregister.com
Sun Newspapers,33.74200763,-118.1042207,https://www.sunnews.org/about-us/
The Auburn Journal,38.90058697,-121.0695783,https://goldcountrymedia.com/live-content/auburn-journal/
Lincoln News Messenger,38.89272549,-121.291204,https://goldcountrymedia.com/live-content/lincoln-news-messenger/
Loomis New,38.74710824,-121.2661871,https://goldcountrymedia.com/live-content/the-loomis-news/
North Tahoe/Truckee Weekly Magazine,39.24632194,-120.0614515,https://thetahoeweekly.com
Placer Herald,38.732143,-121.2713543,https://goldcountrymedia.com/live-content/placer-herald/
Press-Tribune,38.73215974,-121.2712792,https://goldcountrymedia.com/live-content/the-press-tribune/
Chester Progressive,40.31205517,-121.2240033,https://www.plumasnews.com/category/news/
Feather River Bulletin,39.9380679,-120.943927,https://www.plumasnews.com
Indian Valley Record,39.94275402,-120.9439832,https://www.plumasnews.com
Portola Reporter,39.81083157,-120.4683844,https://www.plumasnews.com
Black Voice News,33.98509438,-117.381191,https://blackvoicenews.com
Coachella Valley Independent,33.81701238,-116.4596903,https://www.cvindependent.com/index.php/en-US/
Desert Star Weekly,33.96394444,-116.5024843,http://desertstarweekly.com/
Desert Sun,33.84524821,-116.5045445,desertsun.com
Idyllwild Town Crier,33.74393689,-116.7131059,https://idyllwildtowncrier.com
Inland Empire Weekly,33.96322744,-117.5345822,http://iecn.com
Palo Verde Valley Times/Quartzite Times,33.61026013,-114.6011199,https://www.pvvt.com/site/about.html
Perris Progress,33.78218175,-117.2242014,https://cnpa.com/perris-progress-sentinel-weekly-news-is-cnpa-applicant/
Press-Enterprise,34.07534392,-117.2941614,https://www.pe.com
Record Gazette,33.92754462,-116.8753328,https://www.recordgazette.net/site/about.html
Sentinel Weekly News,33.8790096,-117.589144,https://www.facebook.com/sentinel.weeklynews
Valley Chronicle,33.72924888,-116.9752312,http://thevalleychronicle.com/
Carmichael Times,38.6311387,-121.3277798,https://carmichaeltimes.com
Elk Grove Citizen,38.40881899,-121.3684423,http://www.egcitizen.com
Folsom Telegraph,38.67582195,-121.1797074,https://goldcountrymedia.com/live-content/the-folsom-telegraph/
Grapevine Independent,38.63118899,-121.3277047,https://ranchocordovaindependent.com
