Title,Latitude,Longitude,Description
"""Azusa Pacific University, ZU Media""",34.13003108,-117.888252,https://zunews.com/about/
"""Biola University, The Chimes""",33.90547429,-118.0152012,http://chimes.biola.edu/
"""Biola University, The Point Magazine""",33.90147608,-118.0156947,https://thepointmagazine.org/
"""Biola University, Eagle Vision""",33.90787848,-118.0120638,http://eaglevision.biola.edu/
"""Biola University, KBR The Torch""",33.90854043,-118.0196827,http://radio.biola.edu/
"""California Institute of Technology, The California Tech""",34.13759542,-118.1253119,http://www.tech.caltech.edu/
"""California Baptist University, The Banner""",33.92888168,-117.4259799,http://cbubanner.com/
"""California Baptist University, Pursuit""",33.91583839,-117.4161693,https://issuu.com/jatcbu
"""California Lutheran University. The Echo""",34.22483718,-118.8787457,https://www.cluecho.com/
"""California Lutheran University, El Eco""",34.21973627,-118.8846754,https://www.cluecho.com/
"""California Lutheran University, iCLU Radio""",34.23078406,-118.8743359,http://www.icluradio.com/
"""California Lutheran University, CLUTV""",34.23260916,-118.8899198,https://www.youtube.com/channel/UCg0u4INdpZJsb1DyhC641ZQ
"""Chapman University, The Panther""",33.79325076,-117.8515871,http://www.thepantheronline.com/
"""Chapman University, Prowl Magazine""",33.79557686,-117.8496222,http://www.prowlmagazine.com/
"""Chapman University, Chapman Radio""",33.79157928,-117.8530034,https://chapmanradio.com/home
"""Claremont Colleges , The Student Life""",34.10346939,-117.7120197,http://tsl.news/
"""Concordia University Irvine, The Concordia Courier""",33.65405931,-117.8104866,https://www.cui.edu/StudentLife/Student-Newspaper
"Dominican University of California, The Dominican Beat",37.97980196,-122.5131242,http://www.thedominicanbeat.org/
"""Fashion Institute of Design & Merchandising, FIDM Mode""",34.04431754,-118.2593842,http://fidm.edu/en/student+life/fidm+mode/
"""Fresno Pacific University, The Syrinx""",36.72693278,-119.7343642,http://www.thesyrinx.com/
"""Loyola Marymount University, The Los Angeles Loyolan""",33.97023458,-118.4168471,http://www.laloyolan.com/
"""Loyola Marymount University, ROAR Studios""",33.96546527,-118.4232415,https://www.roarstudiosla.com/what-you-need-to-know
"""Loyola Marymount University, KXLU 88.9 FM""",33.97325975,-118.4142722,http://kxlu.com/
"""Mills College, The Campanil""",37.78063564,-122.1827996,http://www.thecampanil.com/
"""Mount St. Mary's University, The Athenian Print""",34.09382561,-118.4422475,https://theathenianprint.wordpress.com/about/
"""Occidental College, The Occidental""",34.12737197,-118.2101144,http://www.theoccidentalweekly.com/
"""Pacific Union College, Campus Chronicle""",38.56991123,-122.4396551,https://chronicle.ink/
"""Pepperdine University, Pepperdine Graphic""",34.04133336,-118.7096565,http://pepperdine-graphic.com/
"""Pepperdine University, Currents Magazine""",34.03717331,-118.7084667,http://pepperdine-graphic.com/category/currents/
"""Pepperdine University, GNews""",34.04864752,-118.7158684,http://pepperdine-graphic.com/category/video/
"""Point Loma Nazarene University, The Point""",32.71805769,-117.2500869,https://lomabeat.com/
"""Saint Mary's College of California, The Collegian""",37.84129634,-122.1102534,http://www.stmaryscollegian.com/
"""Santa Clara University, The Santa Clara""",37.34965031,-121.9391055,http://thesantaclara.org/
"""Santa Clara University, KSCU 103.3 FM""",37.34549906,-121.9340334,http://www.kscu.org/
"""Simpson University, The Slate""",40.61458756,-122.3323267,https://www.simpsonuslate.com/
"""Soka University, The Pearl""",33.554977,-117.7352832,http://www.soka.edu/student_life/student-activities/the-pearl-student-newspaper.aspx
"""Stanford University, The Stanford Daily""",37.42749152,-122.1696439,https://www.stanforddaily.com/
"""University of La Verne, Campus Times""",34.10076776,-117.7728776,https://lvcampustimes.org/
"""University of La Verne, La Verne Magazine""",34.0982256,-117.771392,https://lavernemagazine.org/
"""University of La Verne, Leo FM""",34.10233849,-117.7736094,https://leofmradio.com/
"""University of La Verne, LVTV-3""",34.10100602,-117.7695168,https://lvtv3.org/
"""University of the Pacific, The Pacifican""",37.97983614,-121.3129113,http://thepacificanonline.com/wp/
"""University of Redlands, The Redlands Bulldog""",34.06260297,-117.1636114,http://www.theredlandsbulldog.com/
"""University of San Diego, The Vista""",32.77187398,-117.1882345,http://uofsdmedia.com/
"""University of San Francisco, San Francisco Foghorn""",37.77652188,-122.45059,https://sffoghorn.press/
"""University of San Francisco, KUSF""",37.77743773,-122.4471031,http://www.kusf.org/
"""University of San Francisco, USFTV""",37.77530073,-122.4520276,https://www.youtube.com/user/usftv
"""University of Southern California, Daily Trojan""",34.02213847,-118.2850848,http://dailytrojan.com/
"""University of Southern California, Annenberg Media""",34.0252493,-118.2912587,http://www.uscannenbergmedia.com/
"""University of Southern California, Annenberg TV News""",34.01859548,-118.2912704,http://www.atvn.org/
"""University of Southern California, Annenberg Radio News""",34.02181042,-118.2805272,http://www.annenbergradio.org/
"""University of Southern California, Impact""",34.02569742,-118.2845588,http://impact.uscannenberg.org/
"""Vanguard University, The Vanguard Voice""",33.66161994,-117.900842,http://www.vanguarduniversityvoice.com/
"""Westmont College, The Horizon""",34.4489407,-119.6609026,http://horizon.westmont.edu/
"""Whittier College, The Quaker Campus""",33.9776779,-118.0291917,http://www.thequakercampus.org/
